wallet_address,count
0xc6f236891c3099ce4b210793bb1b3030fffbaa67,1
0x4ea7524f74f7c26a6a29f05b40f6126f64890e75,1
0xbb8f219ca1c4b8e8d946c25febd0a5ce936afce3,1
0x7ac3a31b933575abd7e249b8f391290a6c1844b9,1
0x86ce21dfa7385aae9a1744806d3fc10862407491,1
0x5f1f8fbcbdf4349b57d4738997870a130c8aa10c,1
0x0a25f3d8bc23b87375d795c2521d1c49aa0784b8,1
0x5e4f4e4618c76109307ea7542012bd8bebdb8e81,1
0x49594fb73a7912bc6da5d33a1060aca029907086,1
0xda48f922a4ec0c4b78758af9e83e69d1b687edd1,1
0xeac5f9b3cd48123a69fe69ce93a7f58100a56552,1
0x66d4908e053f7150038b1bf3579cf384fde0ba72,1
0x9c3afa36ef81473a3eed870850b1b7ed4bf657ee,1
0xf9b48051D6441B32AA2702716f8E4cFfC62d9d07,1
0xE875Ce66064Ff9DebA62741Ba38991f887621d3f,1
0xb67d3557ab95eff8c53d4e80907575a353bbbd4f,1
0x2bed5fd1d5c2919c23f5238dc9bc61fc6f7ab635,1
0xcae1f337e0f6b4c40d5a8f414afa4707374eeaa1,1
0xecdd00ff87b5308da809d36854ae22ffaca7ca87,1
0xfed93f0ad93ff25993274d8245a2bb2133de38c0,1
0xd54aa07a5e77bcc0269e2f1a830139fb72d818a9,1
0xaa3c856e868ff9aae26458b0e8d5bfde995b77a4,1
0xb95df5b3d78401878a8f4ce52feb85edcec8bfb2,1
0x8d90cff4ba575266c82ed4b9bc1b5948c12023bc,1
0xbcb3bacdec563a3437a347202618119af9384f2d,1
0xc4ce914745a17d43602b490ff11f51ccca98960c,1
0x4b44f85d6bb71482995105962fd073742c94107e,1
0x36e0c6603065b974f2d205ffe6630d2c7c51d23a,1
0xc51e4f7ada44ca984cbbbaf035b8c2f4672b751d,1
0x9270181fc52fc49154bd86d5a1fa968e7b676b1d,1
0xc17f20335080cd0b7283e042c89f16605f3a085f,1
0x61fae2d53ce42d87a089753c55c2d26309f0a89f,1
